Date,Close,yhat
2/4/2011,1.56,2.36
2/7/2011,1.54,4.27
2/8/2011,1.63,4.10
2/9/2011,1.55,4.48
2/10/2011,1.55,4.30
2/11/2011,1.55,4.28
2/14/2011,1.54,5.43
2/15/2011,1.52,4.90
2/16/2011,1.65,4.86
2/17/2011,1.57,4.22
2/18/2011,1.55,3.71
2/22/2011,1.46,2.33
2/23/2011,1.46,1.83
2/24/2011,1.5,0.78
2/25/2011,1.57,(0.10)
2/28/2011,1.59,(1.20)
3/1/2011,1.6,(2.32)
3/2/2011,1.6,(2.84)
3/3/2011,1.62,(3.84)
3/4/2011,1.66,(4.59)
3/7/2011,1.66,(4.86)
3/8/2011,1.64,(5.59)
3/9/2011,1.65,(5.66)
3/10/2011,1.6,(6.18)
3/11/2011,1.6,(6.41)
3/14/2011,1.55,(5.10)
3/15/2011,1.53,(5.31)
3/16/2011,1.52,(4.90)
3/17/2011,1.52,(4.97)
3/18/2011,1.53,(4.80)
3/21/2011,1.52,(2.58)
3/22/2011,1.48,(2.62)
3/23/2011,1.48,(2.09)
3/24/2011,1.49,(2.10)
3/25/2011,1.52,(1.93)
3/28/2011,1.55,(0.05)
3/29/2011,1.59,(0.28)
3/30/2011,1.58,0.01
3/31/2011,1.85,(0.26)
4/1/2011,1.78,(0.37)
4/4/2011,1.72,0.64
4/5/2011,1.78,0.12
4/6/2011,1.77,0.15
4/7/2011,1.82,(0.37)
4/8/2011,1.77,(0.71)
4/11/2011,1.68,(0.22)
4/12/2011,1.64,(0.86)
4/13/2011,1.66,(0.93)
4/14/2011,1.68,(1.52)
4/15/2011,1.71,(1.90)
4/18/2011,1.67,(1.48)
4/19/2011,1.68,(2.12)
4/20/2011,1.72,(2.20)
4/21/2011,1.78,(2.80)
4/25/2011,1.76,(2.89)
4/26/2011,1.8,(3.60)
4/27/2011,1.81,(3.76)
4/28/2011,1.84,(4.45)
4/29/2011,1.84,(4.96)
5/2/2011,1.83,(5.03)
5/3/2011,1.79,(5.86)
5/4/2011,1.78,(6.14)
5/5/2011,1.76,(6.95)
5/6/2011,1.81,(7.56)
5/9/2011,1.86,(7.79)
5/10/2011,1.89,(8.62)
5/11/2011,1.8,(8.87)
5/12/2011,1.84,(9.61)
5/13/2011,1.84,(10.12)
5/16/2011,1.77,(9.85)
5/17/2011,1.73,(10.46)
5/18/2011,1.76,(10.45)
5/19/2011,1.88,(10.92)
5/20/2011,1.86,(11.14)
5/23/2011,1.79,(9.94)
5/24/2011,1.78,(10.25)
5/25/2011,1.93,(9.95)
5/26/2011,1.97,(10.14)
5/27/2011,1.97,(10.10)
5/31/2011,2.01,(8.44)
6/1/2011,1.9,(8.02)
6/2/2011,1.92,(8.12)
6/3/2011,2.01,(8.03)
6/6/2011,1.91,(6.21)
6/7/2011,1.89,(6.40)
6/8/2011,1.81,(6.04)
6/9/2011,1.84,(6.20)
6/10/2011,1.86,(6.17)
6/13/2011,1.9,(4.53)
6/14/2011,1.91,(4.76)
6/15/2011,1.82,(4.42)
6/16/2011,1.77,(4.58)
6/17/2011,1.77,(4.54)
6/20/2011,1.73,(2.72)
6/21/2011,1.84,(2.86)
6/22/2011,1.81,(2.40)
6/23/2011,1.85,(2.44)
6/24/2011,1.84,(2.27)
6/27/2011,1.83,(0.05)
6/28/2011,1.87,(0.07)
6/29/2011,1.89,0.49
6/30/2011,1.94,0.52
7/1/2011,1.93,0.75
7/5/2011,1.94,2.86
7/6/2011,1.93,3.30
7/7/2011,1.98,3.19
7/8/2011,1.92,3.24
7/11/2011,1.89,4.73
7/12/2011,1.88,4.36
7/13/2011,1.91,4.51
7/14/2011,1.84,4.10
7/15/2011,1.84,3.85
7/18/2011,1.82,4.49
7/19/2011,1.86,3.87
7/20/2011,1.91,3.81
7/21/2011,1.91,3.21
7/22/2011,1.95,2.81
7/25/2011,1.9,3.22
7/26/2011,1.87,2.60
7/27/2011,1.84,2.57
7/28/2011,1.88,2.04
7/29/2011,1.88,1.74
8/1/2011,1.92,2.60
8/2/2011,1.82,2.16
8/3/2011,1.81,2.32
8/4/2011,1.65,1.98
8/5/2011,1.62,1.87
